X	Y	nZxy
-1230	-1410	378.772352195217
-1230	-1470	376.609374547284
-1230	-150	64.1948828018205
-1230	-1530	434.44639689935
-1230	-1590	492.283419251417
-1230	-1650	550.120441603483
-1230	-1710	607.95746395555
-1230	-1770	605.794486307617
-1230	-1830	663.631508659683
-1230	-1890	721.46853101175
-1230	-1950	779.305553363816
-1230	-2010	837.142575715883
-1230	-2070	894.979598067949
-1230	-210	122.031905153887
-1230	-210.001	182.03186910426
-1230	-2130	952.816620420016
-1230	-2190	1010.65364277208
-1230	-2250	1068.49066512415
-1230	-2310	1126.32768747622
-1230	-2370	1124.16470982828
-1230	-2430	1182.00173218035
-1230	-2490	1239.83875453241
-1230	-270	119.868927505953
-1230	-29.9998	68.5208453076129
-1230	-30	68.5208380976874
-1230	-330	117.70594985802
-1230	-390	115.542972210087
-1230	-450	113.379994562153
-1230	-510	111.21701691422
-1230	-569.999	169.054075315913
-1230	-570	109.054039266286
-1230	-570.001	169.054003216659
-1230	-629.999	166.89109766798
-1230	-630	106.891061618353
-1230	-630.001	166.891025568725
-1230	-689.999	164.728120020047
-1230	-690	104.728083970419
-1230	-750	162.565106322486
-1230	-810	160.402128674552
-1230	-810.001	220.402092624925
-1230	-870	158.239151026619
-1230	-89.9998	66.3578676596794
-1230	-90	66.3578604497538
-1230	-90.0005	126.35784242494
-1230	-930	216.076173378685
-1230	-990	213.913195730752
-1230	1050	227.45443576049
-1230	1110	229.617413408424
-1230	1170	231.780391056357
-1230	1230	233.94336870429
-1230	1290	296.106346352224
-1230	1350	298.269324000157
-1230	1410	300.432301648091
-1230	1470	302.595279296024
-1230	150	15.0097710414877
-1230	1530	364.758256943958
-1230	1590	426.921234591891
-1230	1650	429.084212239825
-1230	1710	491.247189887758
-1230	1770	493.410167535692
-1230	1830	555.573145183625
-1230	1890	557.736122831559
-1230	1950	619.899100479492
-1230	2010	622.062078127426
-1230	2070	624.225055775359
-1230	210	17.1727486894213
-1230	2130	686.388033423293
-1230	2190	688.551011071226
-1230	2250	690.713988719159
-1230	2310	752.876966367093
-1230	2370	755.039944015027
-1230	2430	757.20292166296
-1230	2490	759.365899310893
-1230	2550	761.528876958827
-1230	2610	763.69185460676
-1230	2670	705.854832254694
-1230	270	19.3357263373548
-1230	2730	708.017809902628
-1230	2790	710.180787550561
-1230	2850	712.343765198494
-1230	2910	714.506742846428
-1230	2970	776.669720494361
-1230	30	70.6838157456209
-1230	30.0002	70.6838229555465
-1230	3030	778.832698142295
-1230	3090	720.995675790228
